Month,Monthly Value Traded(GHÂ¢)
2019-01,79880.4762
2019-02,18335.85
2019-03,13004.1
2019-04,1682.3
2019-05,10136.8636
2019-06,26831.7895
2019-07,2568.6957
2019-08,8608.0
2019-09,7565.15
2019-10,370466.8696
2019-11,68395.9524
2019-12,88712.1579
2020-01,749.8095
2020-02,36558.55
2020-03,50306.7619
2020-04,36560.05
2020-05,21255.5789
2020-06,13508.3636
2020-07,23729.6818
2020-08,361350.95
2020-09,7412.0952
2020-10,20826.3636
2020-11,1225.9048
2020-12,3329.25
2021-01,28253.8695
2021-02,30060.7489
2021-03,49434.4225
2021-04,485632.629
2021-05,395528.9747
2021-06,125343.7043
2021-07,31653.4333
2021-08,107335.6695
2021-09,167873.4445
2021-10,197990.6729
2021-11,97932.5652
2021-12,18975.024
2022-01,19319.6484
2022-02,171629.4265
2022-03,138849.9141
2022-04,75007.1158
2022-05,38664.8
2022-06,79220.1443
2022-07,3594.4684
2022-08,50273.8418
2022-09,59318.762
2022-10,6788.5818
2022-11,1337.1827
2022-12,8023.6811
2023-01,7442.1935
2023-02,5680.9232
2023-03,5987.8277
2023-04,444.7778
2023-05,6807.5418
2023-06,25292.438
2023-07,22326.1667
2023-08,2883.8072
2023-09,4337.3835
2023-10,14583.8555
2023-11,5473.42
2023-12,80271.9917
