Timestamp,Do you grant your consent to participate in this survey?,Gender,Age,Kindly select your university of study,Level,Religion,Location,Ethnicity,Study's financing,Medications intake due to studies,Is radiography your desired profession?,I feel emotionally drained by my studies.,I feel used up at the end of a day at school.,I feel like my courses are breaking me down.,I feel frustrated by my course activities.,I feel studying or attending a class is really a strain on me.,I have become less interested in my studies since my enrollment at the school.,I have become less enthusiastic about my studies.,I have become more cynical about the potential usefulness of my studies.,I doubt the significance of my studies.,I can effectively solve the problems that arise in my studies.,I believe that I make an effective contribution to the classes that I attend.,"In my opinion, I am a good student.",I have learned many interesting things during the course of my studies.,I feel stimulated when I achieve my study goals.,During class I feel confident that I am effective in getting things done.
2024/07/17 5:19:37 AM PDT,Yes,Female,21 - 23,UHAS,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,4,4,4,4,4,0,2,2,2,4,4,4,4,4,4
2024/07/17 5:20:48 AM PDT,Yes,Female,24 - 27,UHAS,400,Cristian,Off Campus,Ewe,Family,Frequently,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 5:21:36 AM PDT,Yes,Female,21 - 23,UHAS,400,Cristian,Off Campus,Others,Family,Never,Yes,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6
2024/07/17 5:23:34 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Ewe,Family,Never,Yes,6,6,5,5,6,3,2,1,0,6,5,6,5,6,5
2024/07/17 5:24:14 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 5:24:56 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5
2024/07/17 5:25:54 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Ga,Family,Frequently,Yes,4,6,4,6,4,2,2,0,1,4,4,5,3,4,4
2024/07/17 5:26:44 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Ewe,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 5:27:27 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Others,Family,Never,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/17 5:28:31 AM PDT,Yes,Male,17 - 20,UHAS,300,Cristian,Off Campus,Akan,Scholarship,Sometimes,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 5:29:16 AM PDT,Yes,Male,17 - 20,UHAS,300,Cristian,Off Campus,Akan,Family,Never,Yes,3,3,3,3,3,3,2,1,0,3,2,3,3,3,3
2024/07/17 5:30:17 AM PDT,Yes,Male,17 - 20,UHAS,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,5,4,3,6,1,3,0,2,3,3,3,6,6,6
2024/07/17 5:31:19 AM PDT,Yes,Male,17 - 20,UHAS,300,Cristian,Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3
2024/07/17 5:32:27 AM PDT,Yes,Female,21 - 23,UHAS,300,Cristian,Campus,Others,Family,Never,Yes,3,3,3,3,3,2,0,1,2,3,3,3,3,3,3
2024/07/17 5:33:23 AM PDT,Yes,Female,21 - 23,UHAS,300,Muslim,Off Campus,Others,Scholarship,Sometimes,Yes,6,5,6,6,6,1,2,1,2,6,5,4,3,4,6
2024/07/17 5:34:39 AM PDT,Yes,Female,21 - 23,UHAS,300,Cristian,Campus,Ewe,Family,Never,Yes,5,4,4,5,6,2,1,1,2,6,6,5,5,4,4
2024/07/17 5:35:37 AM PDT,Yes,Female,21 - 23,UHAS,300,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6
2024/07/17 5:36:20 AM PDT,Yes,Male,21 - 23,UHAS,300,Cristian,Campus,Akan,Scholarship,Never,Yes,6,6,5,5,4,3,2,1,0,3,3,4,4,5,5
2024/07/17 5:37:05 AM PDT,Yes,Male,21 - 23,UHAS,300,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,6,5,5,6,0,1,2,3,6,6,5,5,4,4
2024/07/17 5:37:57 AM PDT,Yes,Male,24 - 27,UHAS,300,Cristian,Campus,Ga,Family,Sometimes,Yes,3,3,4,5,6,2,1,1,2,4,6,6,5,4,6
2024/07/17 5:38:39 AM PDT,Yes,Male,24 - 27,UHAS,300,Muslim,Off Campus,Others,Family,Never,Yes,6,6,6,6,6,1,2,1,2,5,5,5,5,5,5
2024/07/17 5:39:29 AM PDT,Yes,Male,24 - 27,UHAS,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,3,3,3,3,3,0,1,2,3,3,3,3,3,3,3
2024/07/17 5:40:30 AM PDT,Yes,Male,17 - 20,UHAS,200,Cristian,Campus,Akan,Scholarship,Never,Yes,6,6,6,6,6,3,2,1,0,6,6,6,6,6,6
2024/07/17 5:41:10 AM PDT,Yes,Male,17 - 20,UHAS,200,Cristian,Campus,Ga,Scholarship,Never,Yes,5,5,5,5,5,0,1,2,3,5,5,5,5,5,5
2024/07/17 5:42:05 AM PDT,Yes,Male,17 - 20,UHAS,200,Cristian,Campus,Ga,Scholarship,Sometimes,No,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5
2024/07/17 5:42:48 AM PDT,Yes,Male,17 - 20,UHAS,200,Cristian,Campus,Ga,Scholarship,Frequently,Yes,5,5,5,6,6,1,2,3,0,3,3,3,3,3,3
2024/07/17 5:43:40 AM PDT,Yes,Male,17 - 20,UHAS,200,Cristian,Campus,Akan,Scholarship,Never,Yes,6,5,4,3,6,0,1,1,0,6,5,5,6,6,5
2024/07/17 5:45:29 AM PDT,Yes,Male,21 - 23,UHAS,200,Cristian,Campus,Ewe,Scholarship,Sometimes,Yes,6,5,6,5,6,6,5,6,5,6,5,6,5,6,5
2024/07/17 5:46:26 AM PDT,Yes,Male,21 - 23,UHAS,200,Cristian,Campus,Ewe,Scholarship,Sometimes,No,6,6,6,6,6,5,5,6,6,6,6,6,6,6,5
2024/07/17 5:47:34 AM PDT,Yes,Male,21 - 23,UHAS,200,Cristian,Campus,Ewe,Family,Never,No,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 5:48:36 AM PDT,Yes,Male,21 - 23,UHAS,200,Cristian,Campus,Ewe,Scholarship,Sometimes,Yes,6,6,6,6,6,3,3,3,3,6,5,6,5,6,5
2024/07/17 5:49:48 AM PDT,Yes,Male,24 - 27,UHAS,200,Cristian,Campus,Ewe,Family,Sometimes,Yes,6,6,6,6,6,6,3,3,3,6,6,6,6,6,6
2024/07/17 5:50:42 AM PDT,Yes,Male,24 - 27,UHAS,200,Muslim,Off Campus,Others,Family,Never,Yes,6,6,6,6,6,3,3,2,2,5,5,5,5,5,5
2024/07/17 5:51:46 AM PDT,Yes,Male,24 - 27,UHAS,200,Cristian,Campus,Ewe,Family,Never,Yes,5,5,5,6,6,3,3,2,1,6,5,4,3,4,5
2024/07/17 5:52:51 AM PDT,Yes,Female,17 - 20,UHAS,200,Cristian,Campus,Akan,Scholarship,Never,Yes,6,5,6,6,6,2,3,2,3,5,4,3,4,5,6
2024/07/17 5:53:47 AM PDT,Yes,Female,21 - 23,UHAS,200,Cristian,Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,3,2,1,0,5,5,5,5,5,4
2024/07/17 5:54:35 AM PDT,Yes,Female,24 - 27,UHAS,200,Cristian,Campus,Ewe,Family,Frequently,Yes,6,5,4,3,6,3,2,1,0,6,5,4,3,4,5
2024/07/17 5:55:20 AM PDT,Yes,Female,17 - 20,UHAS,200,Cristian,Off Campus,Others,Family,Sometimes,Yes,6,5,6,6,5,0,1,2,3,6,5,4,3,4,6
2024/07/17 5:56:03 AM PDT,Yes,Female,21 - 23,UHAS,200,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,5,4,3,4,2,1,2,1,6,5,6,5,6,5
2024/07/17 5:56:51 AM PDT,Yes,Female,17 - 20,UHAS,200,Cristian,Campus,Akan,Family,Sometimes,Yes,6,6,5,5,6,3,2,1,2,6,5,6,5,6,5
2024/07/17 5:57:43 AM PDT,Yes,Female,21 - 23,UHAS,200,Cristian,Campus,Ewe,Family,Sometimes,Yes,6,5,6,5,6,2,1,2,1,6,5,4,6,5,6
2024/07/17 7:41:17 AM PDT,Yes,Male,21 - 23,UCC,300,Cristian,Off Campus,Ga,Family,Never,Yes,3,4,5,6,5,0,1,2,3,6,5,4,3,4,5
2024/07/17 7:42:13 AM PDT,Yes,Male,21 - 23,UCC,300,Cristian,Campus,Akan,Family,Never,Yes,6,5,6,5,6,2,1,2,1,6,5,4,5,6,5
2024/07/17 7:43:00 AM PDT,Yes,Male,21 - 23,UCC,300,Cristian,Campus,Akan,Family,Never,Yes,5,6,5,6,5,1,2,1,2,4,5,6,5,4,3
2024/07/17 7:47:47 AM PDT,Yes,Male,24 - 27,UCC,300,Cristian,Campus,Akan,Family,Never,Yes,6,5,6,5,6,3,2,1,0,3,4,5,6,6,6
2024/07/17 7:48:36 AM PDT,Yes,Male,24 - 27,UCC,300,Cristian,Off Campus,Akan,Family,Never,Yes,4,5,6,5,4,0,1,2,3,6,5,4,3,4,5
2024/07/17 7:49:42 AM PDT,Yes,Female,21 - 23,UCC,300,Cristian,Campus,Akan,Family,Never,Yes,6,5,6,5,6,2,1,2,1,5,6,5,6,5,6
2024/07/17 7:50:26 AM PDT,Yes,Female,21 - 23,UCC,300,Cristian,Campus,Ga,Family,Never,Yes,6,5,4,3,6,0,2,3,0,4,5,4,5,4,5
2024/07/17 7:51:15 AM PDT,Yes,Female,21 - 23,UCC,300,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,6,5,4,5,6,0,1,2,3,6,5,4,4,5,6
2024/07/17 7:52:04 AM PDT,Yes,Female,21 - 23,UCC,300,Cristian,Off Campus,Akan,Family,Never,Yes,6,5,4,3,4,3,2,1,0,3,4,5,6,5,4
2024/07/17 7:53:01 AM PDT,Yes,Female,21 - 23,UCC,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,5,4,3,4,2,1,2,1,6,5,4,3,4,5
2024/07/17 7:54:10 AM PDT,Yes,Female,24 - 27,UCC,300,Cristian,Off Campus,Akan,Family,Never,Yes,4,5,6,5,5,0,1,2,3,3,4,5,6,5,4
2024/07/17 7:55:02 AM PDT,Yes,Female,24 - 27,UCC,300,Cristian,Campus,Akan,Family,Sometimes,Yes,6,5,6,5,6,3,2,1,0,6,5,6,5,6,5
2024/07/17 7:55:45 AM PDT,Yes,Female,21 - 23,UCC,300,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,6,6,6,1,2,1,2,6,6,6,6,6,6
2024/07/17 7:56:45 AM PDT,Yes,Female,24 - 27,UCC,300,Cristian,Campus,Akan,Scholarship,Sometimes,Yes,6,5,6,5,6,3,2,1,0,6,5,4,4,5,6
2024/07/17 7:57:44 AM PDT,Yes,Female,24 - 27,UCC,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,5,6,5,6,3,2,1,0,3,4,5,6,5,4
2024/07/17 7:58:34 AM PDT,Yes,Female,17 - 20,UCC,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,5,5,6,6,0,1,2,3,3,4,5,6,5,4
2024/07/17 7:59:20 AM PDT,Yes,Female,17 - 20,UCC,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,5,6,6,5,1,2,0,2,1,5,3,5,4,3
2024/07/17 8:00:05 AM PDT,Yes,Female,17 - 20,UCC,300,Cristian,Campus,Akan,Family,Sometimes,Yes,6,5,6,6,6,3,2,1,0,3,4,5,6,3,4
2024/07/17 8:00:58 AM PDT,Yes,Female,17 - 20,UCC,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,6,6,5,6,1,2,0,2,6,5,4,3,4,6
2024/07/17 8:02:23 AM PDT,Yes,Female,28 and above,UCC,300,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,6,6,6,6,1,3,2,1,1,2,3,4,5,6
2024/07/17 8:04:02 AM PDT,Yes,Male,17 - 20,UCC,400,Cristian,Off Campus,Akan,Scholarship,Never,Yes,6,5,6,5,6,3,2,1,0,3,4,5,6,6,5
2024/07/17 8:04:52 AM PDT,Yes,Male,17 - 20,UCC,400,Cristian,Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,0,1,2,3,6,5,4,3,4,4
2024/07/17 8:05:46 AM PDT,Yes,Male,17 - 20,UCC,400,Cristian,Off Campus,Ewe,Loan,Never,Yes,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6
2024/07/17 8:06:37 AM PDT,Yes,Male,17 - 20,UCC,400,Cristian,Off Campus,Others,Family,Sometimes,Yes,5,6,5,6,5,3,2,1,0,0,6,5,3,4,6
2024/07/17 8:07:58 AM PDT,Yes,Male,17 - 20,UCC,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,0,0,0,0,3,4,5,3,4,5
2024/07/17 8:09:26 AM PDT,Yes,Male,21 - 23,UCC,400,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,6,6,6,1,1,1,1,3,4,5,6,3,4
2024/07/17 8:10:11 AM PDT,Yes,Male,21 - 23,UCC,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,5,5,5,5,5,3,2,1,0,6,6,6,6,6,6
2024/07/17 8:11:16 AM PDT,Yes,Male,21 - 23,UCC,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
2024/07/17 8:12:05 AM PDT,Yes,Male,21 - 23,UCC,400,Cristian,Off Campus,Akan,Family,Never,Yes,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4
2024/07/17 8:13:11 AM PDT,Yes,Male,21 - 23,UCC,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,5,6,5,6,3,2,1,0,3,4,5,4,5,4
2024/07/17 8:14:16 AM PDT,Yes,Male,24 - 27,UCC,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,5,6,5,6,0,1,2,3,1,2,3,4,5,5
2024/07/17 8:15:14 AM PDT,Yes,Male,24 - 27,UCC,400,Cristian,Off Campus,Others,Family,Never,Yes,6,5,6,5,6,3,2,1,0,6,5,6,5,6,5
2024/07/17 8:16:25 AM PDT,Yes,Male,24 - 27,UCC,400,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 8:17:06 AM PDT,Yes,Male,24 - 27,UCC,400,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 8:17:47 AM PDT,Yes,Male,24 - 27,UCC,400,Cristian,Off Campus,Akan,Family,Never,Yes,5,5,5,5,5,3,2,1,0,5,5,4,4,3,3
2024/07/17 8:25:57 AM PDT,Yes,Male,21 - 23,UCC,400,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,6,6,6,6,0,0,0,0,6,6,6,6,6,6
2024/07/17 8:27:27 AM PDT,Yes,Male,24 - 27,UCC,400,Muslim,Off Campus,Others,Family,Never,Yes,6,5,6,5,6,0,1,2,3,6,5,4,3,4,3
2024/07/17 8:28:36 AM PDT,Yes,Male,21 - 23,UCC,400,Muslim,Off Campus,Others,Family,Sometimes,Yes,4,5,6,6,6,0,1,1,0,6,6,5,4,5,6
2024/07/17 8:30:23 AM PDT,Yes,Male,21 - 23,UCC,400,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,6,6,6,6,3,2,1,0,6,5,4,3,4,3
2024/07/17 8:31:54 AM PDT,Yes,Female,21 - 23,UCC,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 8:32:32 AM PDT,Yes,Female,21 - 23,UCC,400,Cristian,Off Campus,Ga,Family,Never,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/17 8:33:11 AM PDT,Yes,Female,21 - 23,UCC,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 8:33:50 AM PDT,Yes,Female,21 - 23,UCC,400,Cristian,Off Campus,Others,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 8:34:31 AM PDT,Yes,Female,21 - 23,UCC,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/17 8:35:06 AM PDT,Yes,Female,21 - 23,UCC,400,Cristian,Campus,Akan,Family,Sometimes,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/17 8:35:43 AM PDT,Yes,Female,21 - 23,UCC,400,Cristian,Off Campus,Others,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 8:36:19 AM PDT,Yes,Female,21 - 23,UCC,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 8:37:22 AM PDT,Yes,Female,24 - 27,UCC,400,Cristian,Off Campus,Akan,Family,Never,Yes,6,5,6,5,6,3,2,1,0,6,5,4,3,4,5
2024/07/17 8:38:11 AM PDT,Yes,Female,24 - 27,UCC,400,Cristian,Off Campus,Akan,Family,Never,Yes,6,5,6,5,6,3,2,1,0,6,5,4,3,4,5
2024/07/17 8:38:59 AM PDT,Yes,Female,24 - 27,UCC,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,5,5,4,3,2,1,0,6,6,5,5,4,4
2024/07/17 8:39:56 AM PDT,Yes,Female,24 - 27,UCC,400,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,5,5,6,0,1,2,3,4,4,5,5,6,6
2024/07/17 8:40:38 AM PDT,Yes,Female,24 - 27,UCC,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,0,0,0,0,6,6,6,6,6,6
2024/07/17 8:41:22 AM PDT,Yes,Female,24 - 27,UCC,400,Cristian,Off Campus,Ga,Family,Never,Yes,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5
2024/07/17 8:42:00 AM PDT,Yes,Female,24 - 27,UCC,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
2024/07/17 8:42:55 AM PDT,Yes,Female,24 - 27,UCC,400,Cristian,Off Campus,Ewe,Family,Never,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 8:43:52 AM PDT,Yes,Female,24 - 27,UCC,400,Cristian,Off Campus,Ewe,Family,Never,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/17 8:46:34 AM PDT,Yes,Male,17 - 20,UCC,200,Cristian,Campus,Akan,Scholarship,Never,Yes,6,6,6,6,6,3,3,3,3,5,5,5,5,5,5
2024/07/17 8:50:24 AM PDT,Yes,Male,21 - 23,UCC,200,Cristian,Campus,Akan,Family,Never,Yes,6,6,6,6,6,3,2,1,0,1,2,3,2,1,1
2024/07/17 8:52:16 AM PDT,Yes,Male,21 - 23,UCC,200,Cristian,Campus,Akan,Family,Never,Yes,4,3,4,3,4,3,2,3,2,4,3,4,3,4,3
2024/07/17 8:56:27 AM PDT,Yes,Female,21 - 23,UCC,200,Cristian,Campus,Akan,Scholarship,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 8:57:06 AM PDT,Yes,Female,21 - 23,UCC,200,Cristian,Campus,Ga,Family,Never,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/17 8:57:43 AM PDT,Yes,Female,21 - 23,UCC,200,Cristian,Campus,Ewe,Family,Sometimes,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 8:58:34 AM PDT,Yes,Female,21 - 23,UCC,200,Cristian,Off Campus,Others,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 8:59:10 AM PDT,Yes,Female,21 - 23,UCC,200,Cristian,Campus,Akan,Family,Frequently,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/17 8:59:50 AM PDT,Yes,Female,21 - 23,UCC,200,Cristian,Off Campus,Ga,Scholarship,Sometimes,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024/07/17 9:00:31 AM PDT,Yes,Female,24 - 27,UCC,200,Cristian,Off Campus,Ga,Family,Never,Yes,6,5,6,5,6,3,2,1,0,6,5,6,5,6,5
2024/07/17 9:01:29 AM PDT,Yes,Female,21 - 23,UCC,200,Cristian,Campus,Akan,Family,Sometimes,Yes,5,5,5,5,6,0,1,2,3,6,5,4,3,4,6
2024/07/17 9:02:43 AM PDT,Yes,Female,21 - 23,UCC,200,Cristian,Campus,Ewe,Family,Never,Yes,6,5,6,5,6,3,2,1,2,6,5,6,5,6,6
2024/07/17 9:03:22 AM PDT,Yes,Female,21 - 23,UCC,200,Cristian,Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3
2024/07/17 9:05:28 AM PDT,Yes,Female,21 - 23,UG,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,5,6,6,5,3,2,1,2,3,4,4,6,4,5
2024/07/17 9:06:33 AM PDT,Yes,Female,21 - 23,UG,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,5,6,5,6,2,1,2,1,6,5,6,5,6,5
2024/07/17 9:07:22 AM PDT,Yes,Female,21 - 23,UG,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,3,6,6,6,6,1,2,1,0,6,6,6,6,6,6
2024/07/17 9:08:12 AM PDT,Yes,Female,21 - 23,UG,400,Cristian,Campus,Akan,Family,Never,Yes,6,5,6,6,5,1,2,1,0,6,5,6,5,6,5
2024/07/17 9:08:56 AM PDT,Yes,Female,21 - 23,UG,400,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 9:10:58 AM PDT,Yes,Female,24 - 27,UG,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 9:11:56 AM PDT,Yes,Female,24 - 27,UG,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,5,5,6,6,2,1,0,2,6,5,4,4,5,6
2024/07/17 9:12:49 AM PDT,Yes,Male,28 and above,UG,400,Cristian,Off Campus,Akan,Self,Never,Yes,6,6,6,6,6,0,1,0,1,1,2,3,4,5,6
2024/07/17 9:13:34 AM PDT,Yes,Male,21 - 23,UG,300,Cristian,Campus,Ga,Family,Sometimes,Yes,6,5,6,6,6,0,1,1,0,6,5,5,6,6,5
2024/07/17 9:15:37 AM PDT,Yes,Female,21 - 23,UHAS,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,6,5,5,6,5,0,1,1,0,6,5,5,6,5,6
2024/07/17 9:16:16 AM PDT,Yes,Female,21 - 23,UHAS,400,Cristian,Campus,Ewe,Family,Never,Yes,6,5,5,6,5,3,2,1,0,6,5,5,6,6,5
2024/07/17 9:16:59 AM PDT,Yes,Female,21 - 23,UHAS,300,Cristian,Campus,Ewe,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 9:18:45 AM PDT,Yes,Male,21 - 23,UHAS,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 9:19:35 AM PDT,Yes,Female,21 - 23,UDS,400,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,6,6,6,6,2,1,0,1,3,4,3,4,5,6
2024/07/17 9:20:21 AM PDT,Yes,Male,24 - 27,UDS,400,Muslim,Off Campus,Others,Family,Sometimes,Yes,5,5,5,5,5,1,1,1,1,6,6,6,6,6,6
2024/07/17 9:21:16 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,1,0,1,0,6,6,5,5,6,6
2024/07/17 9:22:13 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,5,5,6,3,1,1,0,5,5,4,4,3,3
2024/07/17 9:24:10 AM PDT,Yes,Female,21 - 23,UDS,200,Cristian,Campus,Akan,Family,Never,Yes,6,6,6,6,6,0,0,0,0,6,6,5,5,6,6
2024/07/17 9:26:10 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,5,3,4,3,1,3,6,6,6,6,3
